handicap_elo,dynamic_factor,handicap_elo_offset,log_evidence,geometric_mean
-10,16,-15,-2101.8863136832942,0.5307416549486417
-10,16,-10,-2097.966976055399,0.5313689559731053
-10,16,-5,-2094.44480464918,0.5319333219356931
-10,16,0,-2091.319229558907,0.5324346422717093
-10,16,5,-2088.5895819761754,0.5328728450811898
-10,16,10,-2086.2547698895055,0.5332479493026884
-10,16,15,-2084.3138080106155,0.5335599796618158
-10,25,-15,-2101.10241561812,0.5308670607675613
-10,25,-10,-2097.2119901821534,0.5314898787280768
-10,25,-5,-2093.7106184962695,0.5320510378158402
-10,25,0,-2090.597762075773,0.5325504276989215
-10,25,5,-2087.8728701652853,0.5329879618723499
-10,25,10,-2085.5347150333837,0.5333636845172022
-10,25,15,-2083.5823551598332,0.533677615885228
-10,36,-15,-2101.6091623379743,0.5307859894595776
-10,36,-10,-2097.7479217150462,0.5314040381064805
-10,36,-5,-2094.268018219249,0.5319616646416084
-10,36,0,-2091.169011920384,0.5324587480237198
-10,36,5,-2088.450008641687,0.5328952611162037
-10,36,10,-2086.1101516822046,0.5332711919317168
-10,36,15,-2084.1483602363824,0.5335865856027391
-10,49,-15,-2103.1376295306,0.5305415343251519
-10,49,-10,-2099.3046147877576,0.5311547798302766
-10,49,-5,-2095.845598272405,0.5317087976625773
-10,49,0,-2092.7601201416237,0.5322034748496398
-10,49,5,-2090.0474179535317,0.5326387671520736
-10,49,10,-2087.706637975806,0.5330146653007207
-10,49,15,-2085.7367516304976,0.5333312084161985
0,16,-15,-2070.8291398574383,0.5357328306049414
0,16,-10,-2068.012691618146,0.5361877746555853
0,16,-5,-2065.5906411032565,0.536579320161761
0,16,0,-2063.562280390926,0.5369074422694029
0,16,5,-2061.9262564072164,0.537172243368034
0,16,10,-2060.680952651484,0.5373738913972117
0,16,15,-2059.8251780047867,0.5375125081126549
0,25,-15,-2069.9774074620527,0.5358703711650581
0,25,-10,-2067.1665206059715,0.5363245330672908
0,25,-5,-2064.7422765028546,0.5367165332724981
0,25,0,-2062.703562650312,0.5370464150277987
0,25,5,-2061.0493387118318,0.5373142319452144
0,25,10,-2059.778073720866,0.5375201390112435
0,25,15,-2058.8883020429444,0.5376643024619414
0,36,-15,-2070.4331463389367,0.5357967725544939
0,36,-10,-2067.6293637701556,0.5362497238957853
0,36,-5,-2065.2046728905807,0.5366417416829453
0,36,0,-2063.157843354221,0.5369728908798876
0,36,5,-2061.48792483781,0.537243212357217
0,36,10,-2060.1932984671316,0.5374528762931995
0,36,15,-2059.272552199939,0.5376020403672185
0,49,-15,-2071.921422301243,0.5355564968927513
0,49,-10,-2069.125064062512,0.5360080457414198
0,49,-5,-2066.7005587422564,0.5363998568549881
0,49,0,-2064.6466800503695,0.5367319970867568
0,49,5,-2062.962415371558,0.5370045191557479
0,49,10,-2061.6464497125503,0.5372175449737123
0,49,15,-2060.697149390846,0.5373712682255374
10,16,-15,-2055.3135397397546,0.5382438858949429
10,16,-10,-2053.6129423440307,0.538519826450238
10,16,-5,-2052.3008199044375,0.5387328293683197
10,16,0,-2051.3757859691586,0.5388830450474296
10,16,5,-2050.8359880623298,0.5389707218415752
10,16,10,-2050.6795109670798,0.5389961403351464
10,16,15,-2050.9044324449733,0.5389596039579587
10,25,-15,-2054.0640522412054,0.538446615145238
10,25,-10,-2052.344934682894,0.5387256666433579
10,25,-5,-2051.0065855696075,0.5389430109621545
10,25,0,-2050.0476563094953,0.5390987924301626
10,25,5,-2049.4662470452317,0.5391932663588782
10,25,10,-2049.2606305826257,0.5392266812013662
10,25,15,-2049.4288715521357,0.5391993401164759
10,36,-15,-2054.1528909513113,0.5384321985501891
10,36,-10,-2052.4179173175644,0.5387138169790706
10,36,-5,-2051.056360821884,0.5389349260245059
10,36,0,-2050.0666265731224,0.5390957102068418
10,36,5,-2049.447179673131,0.5391963649207181
10,36,10,-2049.196145901207,0.5392371610683476
10,36,15,-2049.311770914565,0.5392183701649129
10,49,-15,-2055.2989898833926,0.5382462461687216
10,49,-10,-2053.549705190174,0.5385300900987132
10,49,-5,-2052.1666959972417,0.5387546070694814
10,49,0,-2051.1484394926624,0.5389199701103827
10,49,5,-2050.493756758,0.5390263162255527
10,49,10,-2050.2005828317388,0.5390739459552937
10,49,15,-2050.2669055125134,0.5390631706473049
20,16,-15,-2055.3765415383327,0.5382336658795889
20,16,-10,-2054.7777703024126,0.5383308050955449
20,16,-5,-2054.5582950188095,0.5383664151660219
20,16,0,-2054.7159576804793,0.5383408340131116
20,16,5,-2055.2491716186496,0.5382543277525955
20,16,10,-2056.1551482939867,0.5381073779946729
20,16,15,-2057.431763673563,0.5379003785923738
20,25,-15,-2053.3848870989195,0.5385568416677566
20,25,-10,-2052.7438697033795,0.538660897621271
20,25,-5,-2052.4748538658237,0.538704572783148
20,25,0,-2052.575933294658,0.5386881619570103
20,25,5,-2053.0449486955936,0.538612021152841
20,25,10,-2053.87980800934,0.5384765152167992
20,25,15,-2055.0782566890384,0.5382820547176337
20,36,-15,-2052.7768367785307,0.5386555456061798
20,36,-10,-2052.0973588297484,0.5387658656917682
20,36,-5,-2051.782771043069,0.5388169498377368
20,36,0,-2051.8312036482243,0.5388090848232339
20,36,5,-2052.2407230703684,0.5387425871834673
20,36,10,-2053.009229788522,0.5386178194458745
20,36,15,-2054.134231736871,0.538435226503807
20,49,-15,-2053.2657812370976,0.5385761745273373
20,49,-10,-2052.5504252164837,0.5386923032929252
20,49,-5,-2052.193330244867,0.5387502823961777
20,49,0,-2052.192571254152,0.5387504056350291
20,49,5,-2052.5463653909947,0.5386929624243543
20,49,10,-2053.252590288634,0.5385783156800449
20,49,15,-2054.309109452998,0.5384068486131074
30,16,-15,-2070.6694158276305,0.5357586206791534
30,16,-10,-2071.135783215075,0.5356833214659926
30,16,-5,-2071.969712010507,0.5355487025349046
30,16,0,-2073.168374238748,0.535355264903518
30,16,5,-2074.7299931978105,0.5351033588681178
30,16,10,-2076.6518739590656,0.5347935014035617
30,16,15,-2078.9312101502273,0.534426245350331
30,25,-15,-2067.599464867034,0.5362545561292944
30,25,-10,-2068.0018325358737,0.5361895294827965
30,25,-5,-2068.7648384653803,0.5360662417329803
30,25,0,-2069.8863616546837,0.5358850756315966
30,25,5,-2071.3639391812194,0.5356464874865586
30,25,10,-2073.1951938068887,0.5353509376163033
30,25,15,-2075.3775740287992,0.5349989318445398
30,36,-15,-2065.971698895206,0.5365176999115249
30,36,-10,-2066.3146641092617,0.5364622456022478
30,36,-5,-2067.0117237399973,0.536349555156959
30,36,0,-2068.060711048335,0.5361800147866581
30,36,5,-2069.4594101154644,0.5359540363546266
30,36,10,-2071.205431189863,0.5356720770817576
30,36,15,-2073.296378301601,0.5353346120020288
30,49,-15,-2065.4957403313756,0.5365946675155564
30,49,-10,-2065.7829107694524,0.5365482276549276
30,49,-5,-2066.4179339044967,0.5364455489524225
30,49,0,-2067.398716265089,0.5362870020633314
30,49,5,-2068.7230767718306,0.5360729889225512
30,49,10,-2070.3888494000685,0.5358039257538042
30,49,15,-2072.3935233895427,0.5354803007449331
40,16,-15,-2100.5396901673907,0.5309571022804176
40,16,-10,-2102.016896747052,0.5307207675141673
40,16,-5,-2103.8476800911394,0.5304280108143974
40,16,0,-2106.0293877962476,0.5300793494226267
40,16,5,-2108.5596357152945,0.5296752744073011
40,16,10,-2111.4355930214324,0.5292163643780198
40,16,15,-2114.65435889698,0.5287032246545109
40,25,-15,-2096.084429056673,0.5316705264573567
40,25,-10,-2097.4788282925238,0.531447137301819
40,25,-5,-2099.220630539153,0.5311682244353525
40,25,0,-2101.3073643600173,0.5308342707808069
40,25,5,-2103.736758327744,0.5304457434828054
40,25,10,-2106.5059344396086,0.5300032224198497
40,25,15,-2109.6122026311405,0.5295072725240293
40,36,-15,-2093.1401164199497,0.5321425273633152
40,36,-10,-2094.45688028835,0.5319313860034539
40,36,-5,-2096.115004178767,0.5316656271757526
40,36,0,-2098.112338002931,0.5313456771502124
40,36,5,-2100.4464037555535,0.5309720304839158
40,36,10,-2103.1146694655386,0.5305452056061322
40,36,15,-2106.114326328444,0.5300657799272684
40,49,-15,-2091.414368282011,0.532419375717828
40,49,-10,-2092.6578698340536,0.5322198759368904
40,49,-5,-2094.237099986318,0.5319666216612855
40,49,0,-2096.14988176121,0.5316600385337138
40,49,5,-2098.393835204634,0.5313006000023464
40,49,10,-2100.9664420590407,0.530888816452534
40,49,15,-2103.8650940060097,0.5304252269675059
